54,(1,3,1,3,5,9,8,10,18,6),(43,43,43,44,44,44,45,45,45,45),(27),(30,28,26),(24),(31,29,25),(38,37,36,35,34),(39,9,7,6,5,4,3,2,1),(32,18,14,13,12,11,10,0),(33,23,22,21,20,19,17,16,15,8),(62,59,58,57,55,54,53,52,51,50,49,48,47,46,45,43,42,40),(63,61,60,56,44,41)
55,(4,7,8,1,2,3,7,10,17,5),(38,39,39,40,40,40,41,42,42,43),(63,62,61,60),(58,57,47,41,40,29,24),(59,56,54,53,49,31,27,25),(50),(44,28),(55,48,42),(52,51,46,45,43,30,26),(10,9,7,6,5,4,3,2,1,0),(39,38,37,36,35,34,33,32,20,18,17,15,14,13,12,11,8),(23,22,21,19,16)
56,(2,6,2,4,3,6,9,2,22,8),(41,42,42,43,44,44,44,45,45,46),(35,34),(63,52,51,38,36,2),(37,1),(62,59,39,6),(60,54,50),(61,58,56,55,7,3),(57,53,49,48,33,32,5,4,0),(40,16),(45,44,43,42,41,31,29,28,27,26,23,22,21,20,19,18,17,15,13,12,11,9),(47,46,30,25,24,14,10,8)
57,(4,4,4,4,7,10,9,14,6,2),(40,41,41,41,41,41,41,41,41,41),(11,10,9,8),(47,46,43,40),(50,44,42,41),(54,51,49,45),(63,61,58,57,55,53,52),(62,60,59,56,48,18,15,14,13,12),(30,27,25,24,23,22,17,7,1),(39,38,37,35,34,33,28,21,20,19,16,5,3,0),(36,29,26,6,4,2),(32,31)
58,(1,3,5,15,2,6,21,3,6,2),(41,42,42,42,42,43,43,43,43,43),(13),(63,14,10),(29,20,19,17,11),(31,30,28,27,26,25,24,23,22,21,16,15,12,9,8),(33,18),(58,56,54,53,36,32),(61,60,59,57,55,52,50,49,48,47,46,45,44,43,42,41,40,39,37,35,34),(62,51,38),(7,6,5,4,3,0),(2,1)
59,(5,3,1,1,3,8,19,3,14,7),(40,40,40,41,41,41,41,41,41,41),(62,61,59,58,57),(63,60,56),(28),(0),(6,4,2),(23,19,18,15,7,5,3,1),(31,30,29,27,26,25,24,22,21,20,17,16,14,13,12,11,10,9,8),(55,38,37),(54,52,50,49,48,45,44,42,41,40,36,35,33,32),(53,51,47,46,43,39,34)
60,(2,3,5,2,7,5,1,7,20,12),(32,32,33,34,34,35,35,36,36,36),(45,44),(47,46,43),(40,13,11,10,8),(62,12),(63,59,58,56,42,15,14),(61,60,57,41,9),(3),(18,7,6,4,2,1,0),(51,39,38,34,33,32,29,28,27,26,25,24,23,22,21,20,19,17,16,5),(55,54,53,52,50,49,48,37,36,35,31,30)
61,(1,1,3,3,13,7,10,9,13,4),(42,43,43,43,43,43,43,43,43,44),(1),(12),(13,11,5),(57,9,0),(61,60,59,58,56,21,18,17,14,10,6,4,2),(25,22,20,15,8,7,3),(33,32,31,30,27,26,24,23,19,16),(63,62,47,45,40,37,34,29,28),(51,50,49,48,46,44,43,42,41,39,38,36,35),(55,54,53,52)
62,(1,8,3,10,7,7,9,7,8,4),(36,37,37,37,37,37,37,37,37,37),(23),(43,42,7,6,5,4,3,2),(11,10,0),(22,21,20,17,16,15,13,9,8,1),(30,27,26,19,18,14,12),(44,39,36,33,32,31,25),(61,60,51,41,38,34,29,28,24),(59,50,49,47,46,45,35),(62,58,56,54,52,48,40,37),(63,57,55,53)
63,(2,10,15,5,2,10,7,6,5,2),(1,1,1,1,1,1,1,1,1,1),(42,3),(15,12,11,9,7,5,4,2,1,0),(31,27,26,25,24,23,22,20,19,18,17,16,10,8,6),(30,28,21,14,13),(36,29),(55,54,53,52,46,41,38,37,34,33),(63,60,47,44,43,39,32),(62,56,51,45,40,35),(61,59,58,57,50),(49,48)
64,(2,5,4,5,9,4,3,7,15,10),(43,43,43,44,44,44,45,47,47,47),(50,49),(14,13,12,2,1),(52,48,9,3),(53,6,5,4,0),(55,54,51,29,25,15,11,8,7),(30,28,26,24),(31,27,10),(43,21,20,19,18,17,16),(63,62,61,60,59,56,47,46,45,44,42,41,40,23,22),(58,57,39,38,37,36,35,34,33,32)
65,(1,2,3,6,4,6,14,8,11,9),(34,35,36,36,36,39,39,39,39,39),(42),(43,35),(41,37,33),(47,46,38,36,34,32),(45,44,40,39),(7,5,4,3,2,0),(59,50,49,48,15,14,13,12,11,10,9,8,6,1),(63,62,61,60,58,57,56,25),(54,53,51,28,23,22,21,20,18,17,16),(55,52,31,30,29,27,26,24,19)
66,(4,3,1,1,3,3,1,19,20,9),(31,32,32,33,33,33,34,35,35,35),(51,50,49,48),(54,53,38),(39),(34),(37,36,35),(55,52,33),(32),(63,62,61,60,59,58,57,56,22,21,19,18,17,14,13,12,11,10,9),(47,46,31,30,28,27,26,25,24,23,20,16,15,8,6,5,3,2,1,0),(45,44,43,42,41,40,29,7,4)
67,(3,11,2,4,6,6,6,11,13,2),(38,38,39,41,42,42,42,42,42,42),(52,13,12),(55,54,53,51,49,48,14,11,10,9,8),(50,15),(3,2,1,0),(31,28,26,24,5,4),(30,29,27,25,7,6),(43,39,38,34,33,32),(63,56,46,45,44,42,41,37,36,35,18),(62,61,60,59,58,57,47,40,23,20,19,17,16),(22,21)
68,(6,10,9,4,4,11,7,5,5,3),(44,44,44,44,44,44,44,44,45,45),(13,12,11,9,5,4),(23,15,14,8,7,6,3,2,1,0),(35,22,21,20,19,18,17,16,10),(37,36,34,33),(39,38,32,26),(47,45,44,42,41,40,30,29,28,27,25),(51,50,49,48,46,31,24),(55,54,53,52,43),(63,61,60,59,56),(62,58,57)
69,(1,5,1,1,5,5,16,11,12,7),(40,41,41,41,45,45,45,45,45,45),(56),(62,61,59,58,57),(60),(63),(6,5,2,1,0),(12,11,10,4,3),(46,27,23,22,21,20,19,18,17,16,15,14,13,9,8,7),(55,53,50,49,45,44,41,40,29,28,25),(54,52,51,48,47,43,42,38,37,36,33,26),(39,35,34,32,31,30,24)
70,(1,12,8,9,6,2,8,5,8,5),(1,1,1,1,1,1,1,1,1,1),(46),(44,42,39,38,35,33,15,11,10,3,2,1),(51,43,37,36,14,12,8,0),(55,54,52,50,41,34,32,13,9),(53,49,48,47,45,40),(58,19),(63,62,61,57,56,18,17,16),(59,29,27,23,7),(60,31,30,28,26,24,5,4),(25,22,21,20,6)
71,(2,1,1,8,11,4,13,13,10,1),(44,45,45,46,46,46,47,47,47,47),(25,0),(6),(4),(27,24,14,12,9,7,5,3),(31,29,28,26,15,13,11,10,8,2,1),(63,62,61,30),(60,59,58,57,56,47,46,45,44,43,42,41,40),(51,38,35,34,33,32,23,22,21,19,18,17,16),(55,54,53,52,50,49,39,37,36,20),(48)
72,(4,2,1,1,3,4,15,5,19,10),(34,35,35,36,38,39,39,39,39,39),(55,53,50,49),(54,51),(52),(48),(23,22,16),(26,19,18,17),(31,30,29,28,27,25,24,21,20,7,6,5,4,3,2),(40,39,15,1,0),(62,60,57,56,46,45,44,43,42,41,38,37,36,35,34,33,32,12,10),(63,61,59,58,47,14,13,11,9,8)
73,(1,2,1,3,1,2,6,19,25,4),(36,37,38,38,39,41,42,42,42,42),(46),(43,42),(41),(47,45,44),(40),(1,0),(62,57,56,38,37,36),(63,61,60,59,58,34,24,22,21,20,18,17,16,7,6,5,4,3,2),(53,52,49,48,39,35,33,32,31,30,29,28,27,26,25,23,19,15,14,13,12,11,10,9,8),(55,54,51,50)
74,(2,1,1,4,8,3,8,13,14,10),(38,40,40,40,43,43,44,44,44,44),(62,59),(58),(57),(63,61,60,56),(39,38,37,36,35,34,33,32),(15,14,5),(18,13,9,8,6,4,3,1),(23,22,21,20,19,17,16,12,11,10,7,2,0),(54,47,46,44,43,42,41,40,31,30,29,27,26,25),(55,53,52,51,50,49,48,45,28,24)
75,(1,2,2,2,1,3,7,19,20,7),(37,38,39,39,39,42,42,42,42,42),(48),(53,52),(54,49),(55,51),(50),(15,11,10),(14,13,12,9,8,5,0),(31,30,29,25,24,23,22,21,20,19,18,17,16,7,6,4,3,2,1),(63,62,59,58,57,56,46,45,44,43,42,41,39,38,36,35,33,28,27,26),(61,60,47,40,37,34,32)
